imwellexcited 161082817403 "2017-05-26 04:40:02 GMT" https://imwellexcited.tumblr.com/post/161082817403/everyone-who-rebloggs-this-post-is-fucking-gay  True text
imwellexcited 161079566723 "2017-05-26 02:49:41 GMT" https://imwellexcited.tumblr.com/post/161079566723/snugglylin-imwellexcited-after-thinking-for-a "snugglylin: imwellexcited: after thinking for a bit ive decided that id really rather be called zar instead of ro, so if you all would pls try to call me that instead id love you forever :(( will do, zar!! <3  " False text
imwellexcited 160386993598 "2017-05-07 00:43:20 GMT" https://imwellexcited.tumblr.com/post/160386993598/in-trumps-america-rape-is-a-preexisting "sharkdan: maylovely:  witches-ofcolor:  cerise-the-traveling-artist:  dealanexmachina:  vaspider:  thebibliosphere:  blueflowwer:  betaruga:   RAPE, POSTPARTUM DEPRESSION, C-SECTIONS, AND SURVIVING DOMESTIC VIOLENCE WILL BE “PRE-EXISTING CONDITIONS” UNDER TRUMP’S PROPOSED HEALTHCARE REFORM  THIS WILL MAKE RAPE AND DOMESTIC VIOLENCE DE FACTO LEGAL, IF YOU REPORT RAPE OR DOMESTIC VIOLENCE YOU WILL RISK LOSING YOUR INSURANCE!! THIS LAW WILL HELP PROTECT RAPISTS!! CALL YOUR SENATORS NOW TO VOTE THIS DOWN!!! Phone numbers (x)REBLOG THIS SHIT LIKE WILDFIRE!!  @thebibliosphere  Please signal boost!  I think I’ve reblogged like 4 different versions of this but I don’t care. This is despicable and it needs to be stopped. Give them hell.  So yeah.  heartburn is on this list, guys. and it passed in the House with 4 votes.  CALL YOUR SENATORS NOW.  I know this is a fandom blog, but this is super important for you all to know. Trumpcare is about to become a thing, and it won’t save anyone, in fact, it’ll kill and indanger people.If you live in the US, please read this and contact your states senetors.  Someone, how do I contact my senator?  I’m starting to think that trump is the literal anti christ.   acne is on this fucking list. what the fuck. " False link
imwellexcited 160339907898 "2017-05-05 17:21:47 GMT" https://imwellexcited.tumblr.com/post/160339907898/under-trump-heavy-periods-could-once-again-become "closet-keys:  Also on this list:  Being a survivor of abuse or sexual assault “Transsexualism” Mental disorders Let’s be clear here: They want trans people, survivors, and mentally ill people to die. They want us to disappear.  " False link
imwellexcited 160338001993 "2017-05-05 16:07:24 GMT" https://imwellexcited.tumblr.com/post/160338001993/in-trumps-america-rape-is-a-preexisting "cerise-the-traveling-artist:  dealanexmachina:  vaspider:  thebibliosphere:  blueflowwer:  betaruga:   RAPE, POSTPARTUM DEPRESSION, C-SECTIONS, AND SURVIVING DOMESTIC VIOLENCE WILL BE “PRE-EXISTING CONDITIONS” UNDER TRUMP’S PROPOSED HEALTHCARE REFORM  THIS WILL MAKE RAPE AND DOMESTIC VIOLENCE DE FACTO LEGAL, IF YOU REPORT RAPE OR DOMESTIC VIOLENCE YOU WILL RISK LOSING YOUR INSURANCE!! THIS LAW WILL HELP PROTECT RAPISTS!! CALL YOUR SENATORS NOW TO VOTE THIS DOWN!!! Phone numbers (x)REBLOG THIS SHIT LIKE WILDFIRE!!  @thebibliosphere  Please signal boost!  I think I’ve reblogged like 4 different versions of this but I don’t care. This is despicable and it needs to be stopped. Give them hell.  So yeah.  heartburn is on this list, guys. and it passed in the House with 4 votes.  CALL YOUR SENATORS NOW.  I know this is a fandom blog, but this is super important for you all to know. Trumpcare is about to become a thing, and it won’t save anyone, in fact, it’ll kill and indanger people.If you live in the US, please read this and contact your states senetors. " False link
imwellexcited 160278027583 "2017-05-03 22:03:41 GMT" https://imwellexcited.tumblr.com/post/160278027583/mobile-phone-applications "borkdan:  borkdan: hey guys. would anyone be willing to do this lil survey for me? it’s for a college assignment and it should only take like 30 seconds  thanksss ❤️ also reblogs are super duper appreciated!! " False link
imwellexcited 160255193433 "2017-05-03 05:22:00 GMT" https://imwellexcited.tumblr.com/post/160255193433/youtubes-daddyofive-loses-custody-of-children "lily-peet: I have never felt so much glee at parents losing custody of their children. It’s wonderful. " False link
imwellexcited 159882438393 "2017-04-23 01:35:55 GMT" https://imwellexcited.tumblr.com/post/159882438393/free-online-gender-quiz "ray–of–dunshine: syngestreet:  loonylovvegood:  em-lovebird:  weltinator:  strangegunslinger:  voxmyriad:  helloitsbees:  shacklesburst:  defectivealtruist:  rubegoldbergsaciddreams: please everyone take this quiz it’s so important my gender is VENDING MACHINE  Your gender is: THE ANGEL RAMIEL FROM NEON GENESIS EVANGELION  Your gender is: THE MONOLITH FROM 2001: A SPACE ODYSSEY  Your gender is: EGG  Your gender is: FINE  Your gender is: THE INKY VOID BETWEEN STARS  Your gender is: ROBOT  Your gender is:CUBE  your gender is: THE ANGEL RAMIEL FROM NEON GENESIS EVANGELION  your gender is: TUBBS FROM NEKO ATSUME  your gender is: ROBOT" False link
imwellexcited 159275657178 "2017-04-06 20:26:28 GMT" https://imwellexcited.tumblr.com/post/159275657178/surreal-teal-right-i-hate-having-to-do-this "surreal-teal: Right… I hate having to do this, but at the moment living and funding transitioning isn’t an option. It will cost at least £500 for the first two appointments with gendercare, and because of where I live, if I don’t go private I will be waiting for years to start medically transitioning and get rid of this debilitating dysphoria.  If you can’t donate, please reblog or share it to people who may be able to help. It will all go towards becoming me." False link
imwellexcited 159238719678 "2017-04-05 20:32:30 GMT" https://imwellexcited.tumblr.com/post/159238719678/this-sundays-parade-showed-the-less-tolerant-side "veryfemmeandantifascist: thewinddrifter:  “As Trans Queer Pueblo explained to New Times on Friday, their message was a simple one: They want Pride to be inclusive and stand up for the rights of LGBT undocumented immigrants. That means getting rid of the police float, refusing corporate sponsorships from banks that have funded immigration detention centers, and using the group’s political influence to lobby against laws that predominantly affect LGBT people of color. The response was ugly. Parade attendees shouted racial slurs, pushed and shoved protesters, and attempted to start physical fights. Others chanted “Get out of our Pride” and “Go home.” Groups of bystanders booed as the protesters began marching down the parade route.”   “We went in with an understanding what we were in a safe place where our concerns were going to be taken seriously,” Dagoberto Bailon, Trans Queer Pueblo’s general assistant, says. “But we were greeted by Pride immediately calling the police, which caused a lot of fear since many of us are undocumented.”  Racist gay white people are still racist white people.  " False link
imwellexcited 159092629098 "2017-04-02 00:36:28 GMT" https://imwellexcited.tumblr.com/post/159092629098/pick-an-outfit-at-hot-topic-and-well-guess-how "rubberupandmakedanhowell: matt-the-blind-cinnamon-roll:  quietdoppelganger:  teamnowalls:  tachikoma:  skeetshoot:  swdyww: 51 I GOT 51 I got 25 :(  i got 51 :(  19 bye  14 omfg I’m 22  “You’re clinging to the last threads of your emo childhood days. Time to move on to PacSun, isn’t it?” I will leave 2004 behind when I’m dead   how dare you " False link
imwellexcited 158987236353 "2017-03-30 02:50:09 GMT" https://imwellexcited.tumblr.com/post/158987236353/eating-ice-cream-for-breakfast-may-improve-mental "pudgealicious88: azspot:  Most parents would consider it a crime to give a child ice cream for breakfast. But they might rethink allowing their kids to have a scoop of the cold, sweet treat first thing in the morning, if they knew it could make them smarter. Although an early morning sugar rush may be parents and teachers worst fears, a new study recently found eating ice cream first thing in the morning can actually be beneficial for the brain. The study, published by Kyorin University professor Yoshihiko Koga, said eating ice cream right after waking up can result in improved instances of alertness and mental performance.  Idc about details i just needed permission to eat ice cream for breakfast. Sold. " False link
imwellexcited 158901375993 "2017-03-27 20:19:25 GMT" https://imwellexcited.tumblr.com/post/158901375993/mainstream-media-finally-exposes-elite-pedophile "felix2001a:  jerseydeanne:  wageronliberty:  anarcho-individualist:  getinvolvedyoulivehere: I wasn’t expecting to see this on mainstream TV! Holy shit you guys  This deserves to be read, so I’m copying the article into my reblog.   Kendall explains that she was born to be a  sex slave, as her parents intentionally had her for the trafficker she  calls her “owner.” Kendall says that her parents sold her at birth to an  elite pedophile ring that serviced some of the world’s power elite,  describing her first memories as being passed around groups of rich and  prominent men and women for them to “take turns” with her for sadistic  sexual pleasure. Making her first public appearance  after escaping from the man she calls her “owner,” Kendall describes  being forced to participate in actions that shock the conscience. She  explains that she was forced to rape children as young as 5- years-old,  and even admits to having been forced to kill a baby by the human  trafficker she describes as her “owner.”Kendall says that she can tell the difference between kids born into  sexual slavery and ones that have been kidnapped, as the ones born into  it are more docile and less upset as it is the only reality they have  ever known. When Dr. Phil asks how old she thinks she was when she was  first raped, Kendall explains that it was “before I could talk – I was used to it by the time I was 2.” She says she doesn’t even know her actual age, as she has been a sex slave her entire life, being trafficked around the globe to be molested and raped by the societal elites – including high ranking law enforcement official, major sports franchise owners and even high level U.S. politicians. She describes having birthed 3 children while in captivity, all of which have been taken from her by her owner/trafficker, and are believed by Kendall to now be child sex slaves themselves. “I was allowed to get pregnant, because men paid for that,” Kendall said. Kendall notes that the pedophiles she  came into contact with over the years were extremely wealthy – often  “pillars of the community” – with some even owning private islands or  large pieces of land. “They would buy us just to hunt us,” she said.  She recalls one of her most fearful  memories was that of the pedophiles hosting a “hunting party” on one of  their large private plots of lands, making numerous children run and  hide in fear, as they were the “prey” to be hunted. The pedophiles would  then hunt the children as they ran and hid in fear – raping and  torturing them when they were captured. The activities described by this woman  are so profoundly disturbing they can be almost hard to believe, but Dr.  Phil confirms that his team not only investigated Kendall’s case for  four months, but also consulted with law enforcement experts who  confirmed her story. Dr. Phil said he “100% believes” that she is  telling the truth. In a damning indictment of the power-elite, Kendall described how the  pedophile politicians would adorn her in designer clothes, well groomed  hair and makeup to give the appearance of class and sophistication. She  explains that she and other children were often hung from cages  suspended from the ceiling, and that they were often drugged before  being transported in the darkness of night. She claims that she was trafficked to pedophile politicians, and  taken to political parties attended by high-level politicians who used  her for their personal pleasure. The politicians always took great care  to hide what they were doing, according to Kendall, who confirmed  that there are many elite U.S. politicians that have been engaged in  raping children for many years — a reality that has consistently been  covered up and completely hidden from voters. Perhaps the reason these crimes have been so steadfastly hidden from  public view, is that high-level law enforcement officials have also been  implicated as being part of the elite pedophile network. This is just the latest case to emerge in what is now being called  #PedoGate. #PedoGate refers to an international pedophile ring composed  of politicians and other high profile societal elites. After President Trump held a press conference last month, in which he  detailed his plans to go after the victims of the “human trafficking  epidemic,” former U.S. Congresswoman Cynthia McKinney weighed in on the subject,  noting that going after child predators will lead to the downfall of  both Republicans and Democrats in the United States — as this problem  goes all the way to the top.  As the Free Thought Project has consistently pointed out, pedophilia among the global elite is rampant.  In December, we reported on the massive child sex ring that was exposed in Norway. That investigation quickly led to arrests  of “51 people, all men, (who) are so far involved in the case. 24 of  them come from Hordaland and Sogn og Fjordane. Twenty-six come from  other areas of Norway, from Southeast to Finnmark in the north. Among  the accused offenders, there is also one Swedish national. Two  politicians, one Labor politician from Oslo and a former national  Progress Party (FrP) politician from Eastern Norway are involved in the  case.” One is also a kindergarten teacher, and four of the 51 arrested  were perpetrators in the video evidence collected. In February, the Free Thought Project reported on the fact that the police chief recently came forward and confirmed that the former Prime Minister of England, Sir Edward Heath, had raped dozens of children. The department also noted how those within the government helped cover up these crimes. We previously reported on the high-profile elite pedophilia scandal that gripped the U.K.  – with its thousands of victims – being unceremoniously swept under the  rug, which is indicative of the scope and breadth of the actual  problem. In fact, the problem is so rampant in England that officials  issued an order last month to stop naming streets and landmarks after  local heroes and politicians because they could later be exposed as  pedophiles. In the case of the U.K. Inquiry, historical abuse by politically connected elites, celebrities, and politicians was brought to light  — with an official inquiry being started — only to have the inquiry  “crumble” after heavy pressure was exerted by highly placed power  brokers within the U.K. establishment. This was almost the exact same scenario as what took place in the United States in what became known as the Franklin child sex ring coverup  — which involved high level Republicans during the George H.W. Bush  administration. Once the FBI took over the investigation from state  authorities, it turned into a witch hunt to persecute the child victims –  going so far as to charge them with perjury in a successful attempt to  scare the other 70+ victims to recant their testimony regarding the  child sex ring. While the story received a small  measure of newspaper coverage, there was a complete blackout of the  scandal by the mass media, thus most Americans have never heard about  this scandal that reached all the way to the White House. Domestically, there are relatively few high-level arrests, as anytime  ‘the elite’ are mentioned alongside the term ‘pedophile,’ the  Praetorian guard, aka the corporate media, shout down all those who dare  pose any questions about those in power abusing the most vulnerable  among us. For example former U.S. Speaker of the House of Representatives, Dennis Hastert, a known serial child rapist, was never charged for his numerous crimes against children, which the FBI knew about, and had evidence of, for over a decade. According to FBI whistleblower Sibel Edmonds: Since 1996 the FBI has had tons of information on Hastert  which was gathered in Chicago by the FBI’s Chicago Field Office. The  incriminating criminal evidence in those files range from bribery,  extortion, fraud, money laundering and embezzlement, to sexual crimes  against minors and participation in foreign-operated drug operations. Since 1997 the FBI has had much hard evidence on Hastert gathered by  the FBI’s Washington Field Office. The documented deeds range from  espionage to foreign bribery. But that’s not all. The FBI also has had hard data on Hastert’s  sexual violations outside the United States. The involved countries  include Vietnam, Thailand, Turkey and Morocco, among others. This also  included sexual favors as means of foreign bribery. Interestingly, the  CIA had been documenting those sexual activities for many years, and not  only on Hastert but on many others; elected and appointed. So, when corporate media tells you #PizzaGate is fake news and that  investigating whether Denny Hastert’s good friend, John Podesta, is  involved in some way with pedophilia – given his close friendship with  Hastert, proclivity for strange art featuring nude children and strange  code words found in his leaked emails — it shouldn’t be shouted down as  “fake news,” but investigated instead. It seems that American politicians and their political cronies are  virtually untouchable in the ivory towers of government. Since January  of 2017 over 1,500 pedophiles and human traffickers have been arrested.  However, the power-elite operating these child sexual slavery rings have  not been among them… yet.  Here are the YouTube videos embedded in the article:   Woman Claims Parents Sold Her To An International Sex Trafficking Organization – At Birth – The Dr. Phil Show   Woman Claims Parents Sold Her To Sex Trafficker And Said ‘It Was The Best Thing For Me’    – The Dr. Phil Show  Reported Human Trafficking Survivor Claims She Was Forced To Have Sex Before She Could Talk – The Dr. Phil Show   Why A Reported Survivor Of Sex Trafficking Claims She Was ‘Allowed’ To Get Pregnant Multiple Times – The Dr. Phil Show   Reported Survivor Of Human Trafficking Ring Claims Some Clients ‘Would Buy Us Just To Hunt Us’ – The Dr. Phil Show   Dr Phil - March 21, 2017 - Child Trafficking Victim Comes Forward – The Silentist (full show, 42 min) BLOW THIS UP AND BURN IT ALL DOWN.  This is incredibly upsetting, but you have to read this and reblog and send it viral  Disturbing what this woman and others in in her position have gone through and these horrible organisations like this which do exist in this world. Watch the video and read anons and it will open your eyes to what horrible people exist within our society.  " False link
imwellexcited 158573959363 "2017-03-19 04:15:00 GMT" https://imwellexcited.tumblr.com/post/158573959363/woman-leading-flint-lead-poisoning-lawsuit-found "b8in4satan:  unbossed:  There’s also this.   She was identified Thursday, the same day the death of a Flint Water Treatment Plant foreman who was wanted for questioning in connection with the crisis was announced.  Holy fucking hell " False link
imwellexcited 158407306613 "2017-03-14 21:06:20 GMT" https://imwellexcited.tumblr.com/post/158407306613/a-revolutionary-surgery-could-finally-let-trans "amuseoffyre: anonymousnerdgirl:  whipsticka:  janes-nature-garden: is it bad that I want to become pregnant one day  “A clinic in Ohio recently started screening women for the ground-breaking procedure, which would allow women to transplant their uterus into a woman who doesn’t have one. The transplant could be conducted on a woman ‘born without a uterus, or who had it removed or have uterine damage’ – this would make trans women eligible for the procedure. A 26-year-old woman who is undergoing the screening process told The Times: ‘I crave that experience. ‘I want the morning sickness, the backaches, the feet swelling. I want to feel the baby move. That is something I’ve wanted for as long as I can remember.’ Dr Christine McGinn, a plastic surgeon, told Yahoo News: ‘The human drive to be a mother for a woman is a very serious thing. ‘Transgender women are no different.’”  Medical miracle.  I’d donate mine :) I’m not using it. " False link
imwellexcited 154838166398 "2016-12-23 05:50:06 GMT" https://imwellexcited.tumblr.com/post/154838166398/christian-video-company-sues-for-the-right-to "gaywrites: A Christian video production company is suing Minnesota over a nondiscrimination law that requires them to provide services for same-sex weddings, even if doing so violates their religious beliefs.  If they break the law, they could face a $25,000 fine, 90 days in jail or both.  The lawsuit, backed by the conservative Christian legal group Alliance Defending Freedom, stated that producing wedding videos for same-sex couples “directly contradicts their religious beliefs” in violation of the U.S. Constitution’s First Amendment, which protects freedom of religion. The case is the latest involving U.S. businesses that have declined to provide services to gay couples, citing Christian beliefs. Gay marriage became legal in Minnesota in 2013, and a U.S. Supreme Court ruling last year legalized it nationwide. Minnesota’s Human Rights Act requires that private businesses provide services to all regardless of factors including race, disability, age, gender and sexual preference.  Oh, goodie, we’re still doing this.  " False link
