lol-biscuit 161056539771 "2017-05-25 13:06:29 GMT" http://lol-biscuit.tumblr.com/post/161056539771/carbs-love-her  True text
lol-biscuit 160938100576 "2017-05-22 05:43:05 GMT" http://lol-biscuit.tumblr.com/post/160938100576/damn-kids-and-their-having-fun "Damn kids and their “having fun”" True text
lol-biscuit 160938052731 "2017-05-22 05:41:09 GMT" http://lol-biscuit.tumblr.com/post/160938052731/lol-biscuit-whom-the-fuck-in-my-neighbourhood "lol-biscuit: Whom the fuck in my neighbourhood is “having fun” on this Friday night whilst I am trying to sleep Update: it’s happening again and i CANT FUCKING SLEEP" False text
lol-biscuit 160934565221 "2017-05-22 03:45:30 GMT" http://lol-biscuit.tumblr.com/post/160934565221/aymmichurros-enters-my-own-room-damn-bitch-you "aymmichurros:[enters my own room] damn bitch you live like this?" False text
lol-biscuit 160928883341 "2017-05-22 00:46:06 GMT" http://lol-biscuit.tumblr.com/post/160928883341/headache-wont-go-away-lads  True text
lol-biscuit 160927414291 "2017-05-21 23:55:53 GMT" http://lol-biscuit.tumblr.com/post/160927414291/gravy-is-extremely-good "Gravy is…. extremely good" True text
lol-biscuit 160925356601 "2017-05-21 22:48:39 GMT" http://lol-biscuit.tumblr.com/post/160925356601/it-is-my-god-given-right-as-a-gemini-to-never-make  True text
lol-biscuit 160923151151 "2017-05-21 21:40:12 GMT" http://lol-biscuit.tumblr.com/post/160923151151/thank-you-for-agreeing-to-take-the-pre-employment "mpregcraig:  QUESTION 1: Your wife, the mother of your children, is drowning. You have a life preserver. However, a customer requires your assistance. What do you do? QUESTION 2: A man has been caught stealing from the company and he is currently awaiting execution. You are the executioner. Do you pull the trigger? QUESTION 3: Which sentence best describes yourself? - I have clinical depression. - I’m ready to be productive! QUESTION 4: Which sentence best describes yourself? - I try to do things to the best of ability. - I am willing to bleed for you. QUESTION 5: Are you afraid to die? " False text
lol-biscuit 160913604026 "2017-05-21 16:45:29 GMT" http://lol-biscuit.tumblr.com/post/160913604026/konohagakure-me-buying-myself-nice-things-this "konohagakure: Me buying myself nice things: this is gay activism" False text
lol-biscuit 160911562671 "2017-05-21 15:38:29 GMT" http://lol-biscuit.tumblr.com/post/160911562671/hi-yeah-i-cant-come-into-work-today-my-very-old "Hi yeah I can’t come into work today, my very old cat is asleep on my lap so I can’t move. Thanks for understanding!!" True text
lol-biscuit 160716929881 "2017-05-16 02:28:19 GMT" http://lol-biscuit.tumblr.com/post/160716929881/cars-3-first-look-meet-pixars-new-millennials "lukeskywalkersbutt: aspiringwarriorlibrarian:  thefuturesimperfect:  kazucrash:  Sounds bad.  I cannot imagine a more smug and aggravating man than a person who makes a children’s movie with a message of “fuck you, children.”  Those little leather skull caps… oh, you mean the ones that got people killed? “Yeah, let’s reminisce on when toxic masculinity killed us, the good old days before those entitled millenials wanted to live rather than die over a pig balloon.”  griffin mcelroy’s reaction to cars 3 is…mega mood " False link
lol-biscuit 160089660001 "2017-04-28 17:27:44 GMT" http://lol-biscuit.tumblr.com/post/160089660001/heres-what-the-luxury-fyre-festival-was-really "socratescloset: Look: Despite everything that’s happened over the past four months, despite all of the legislative chaos, and despite all of the global calamity taking place between nations, this – this – is one of the wildest stories I’ve heard all year. " False link
lol-biscuit 159790966341 "2017-04-20 14:45:05 GMT" http://lol-biscuit.tumblr.com/post/159790966341/ghouledboy-ghouledboy-ghouledboy-hi-guys "ghouledboy: ghouledboy: ghouledboy: Hi guys, I’ve set up a donation pool page. I’m hoping this website is good and if you find any problems pls message me.  I am getting into scary financial trouble right now. I have no money to feed myself and I do not want to find myself unable to pay rent in May. On top of that my depression has really come back hard since I can’t afford to be on my meds anymore.  I need to start testosteone. My dysphoria has doubled my anxiety and depression and being a non passing trans man has fucked with my ability to work. I have a job interview on tuesday but even best case scenario where I get it I won’t be working until after May.  I have commissions open but I havent had many takers, I can still however promise a painting or piece of art to every person who donates 5 bucks or more. All my remaining money right now is spent on my angel cat because I will not let him starve. I’d sooner steal food for him than I would for me if it ever came to it.  Pls pass this along. I really am scared. Hey! I got the job but training doesnt start until after may 1st and i /have/ to have rent before that, even if just 40 ppl donate 10 bucks I will be able to get the other hundred Folks pls pass this around its barely got any notes and i only have about a week left" False link
lol-biscuit 158788437931 "2017-03-24 21:12:01 GMT" http://lol-biscuit.tumblr.com/post/158788437931/trudeau-very-pleased-trump-approved-keystone-xl "quasi-normalcy:Well, it’s not like he was elected on a platform of safeguarding the environment or respecting aboriginal land title or anything like that." False link
lol-biscuit 158516187566 "2017-03-17 17:06:33 GMT" http://lol-biscuit.tumblr.com/post/158516187566/matthew-perry-admits-to-being-canadian-prime "brainburner:this is funnier than immortal technique throwing trash at lin manuel mirinda" False link
lol-biscuit 158132035561 "2017-03-08 02:04:32 GMT" http://lol-biscuit.tumblr.com/post/158132035561/sophie-gregoire-trudeau-strikes-backlash-with "allthecanadianpolitics: Canadian women should mark International Women’s Day on Wednesday by celebrating the men in their lives, says Sophie Gregoire Trudeau.On the eve of the event, the wife of the prime minister used social media to urge the Canadian sisterhood to share snaps of themselves holding hands with the men in their lives.The aim was to “celebrate the boys and men in our lives who encourage us to be who we truly are, who treat girls & women with respect, and who aren’t afraid to speak up in front of others,” she said.In the accompanying picture on Instagram, she stares into the eyes of an intense-looking Justin Trudeau.“Take a picture holding hands with your male ally & share it on social media using the hashtag #TomorrowInHand,” she continued. “Together, we can create a movement that inspires more men to join the fight to build a better tomorrow with equal rights & opportunities for everyone… because #EqualityMatters.”The reaction to Gregoire Trudeau’s clarion call was swift, with critics deriding the move to celebrate men on the single day of the year set aside to honour women’s accomplishments.Continue Reading." False link
lol-biscuit 157847352486 "2017-03-01 03:41:15 GMT" http://lol-biscuit.tumblr.com/post/157847352486/kevin-olearys-little-secret-i-never-wear-pants "allthecanadianpolitics: Kevin O'Leary thinks “working for women” is “ridiculous”?That might pose a problem for someone aspiring to be Prime Minister, considering O'Leary’s seeking a job where over 50% of his potential bosses would be women.But according to a 2011 video filmed in front of O'Leary’s bathroom mirror, the current front runner in the race to replace Stephen Harper as Conservative leader expresses his frustration about working at a job where “the whole place is run by women” – the Canadian Broadcasting Corporation.O'Leary even confides a little secret to the camera about how he likes to get revenge.During interviews with CBC News Network conducted by Skype, O'Leary says he doesn’t wear pants – “I never do. I’m not kidding”:“The thing about the CBC, I gotta tell you guys, is the whole place is run by women. I’m working for women. I’m a token guy there. Think about it: Heather Hiscox, Amanda Lang, Kirstine Stewart, Julie Bristow – all these are women that I work for. It’s ridiculous.So you know how I get back at them? Today when I do that hit by Skype, I won’t have any pants on. I never do. I’m not kidding.”Continue Reading." False link
lol-biscuit 157340311091 "2017-02-17 03:28:35 GMT" http://lol-biscuit.tumblr.com/post/157340311091/trudeau-prepares-to-cede-canadian-sovereignty-to "tramampoline: thecheshirecass: clockadile:  allthecanadianpolitics:  Political deep integration continues apace. The Liberal government is in the process of passing an extraordinary piece of legislation, C-23, which effectively cedes Canadian sovereignty to U.S. border officials. Under this Bill, expected to pass shortly, Canadians can be held for interrogation by U.S. border guards at airports, even if we decide we’ve had enough hostile questioning about our religion, political views, social media habits, or mode of dress, and decide to stay in Canada after all. If we try to get up and leave at that point, or decide we don’t want to answer more questions, we will be breaking Canadian law, and liable for arrest, conviction and imprisonment. Meanwhile, Canadian border officials in American airports will now have the right to prevent Canadian permanent residents from boarding an aircraft. At a stroke, what we assumed were basic civic rights are being whisked away by the Trudeau government. American authorities will be able to detain Canadian citizens on Canadian soil, and the Liberals are making it a crime for us to refuse to co-operate. And just as American green-card holders are being harassed and blocked at U.S. airports, so Canada is now following suit against its own permanent residents, who – until now – had the unfettered right to enter Canada. Pre-clearance has, of course, been a convenient way of entering the U.S. Better to be refused here than have to pay your way back from there. But this new law will apply, as noted, even to Canadians who change their minds about traveling to the U.S. after getting a taste of the Orange Era from a sneering American immigration official. It’s worth reiterating: you won’t just be able to walk away. You will remain under American authority, in Canada, and if you resist or refuse to answer an American interrogator’s questions, you can be prosecuted – by Canada. This may seem to some like small potatoes. Most Canadians don’t fly to the U.S. Most who do are unlikely to be harassed at the border. But it is wrong, I think, to dismiss this move so easily. Giving Americans the right to detain Canadians on our own land, and subjecting the latter to prosecution if we fail to comply, is a significant break from the past. Does anyone believe that U.S. pressure will stop there and that more concessions won’t be made? Trudeau’s grinning performance in Washington, strong handshake and all, was really a gesture of obeisance. It was a dutiful visit to the court of the mad king. He will sound tough on trade issues for domestic consumption, and try to recover his shining mantle after his dismal performance of late, but he is what he is: little more than a satrap, not the leader of a sovereign nation. Just watch him.  “Under the existing law, a strip search can only be conducted by a Canadian officer, though a U.S. officer can be present. Greene points out C-23 says if a Canadian officer is unavailable or unwilling, the U.S. officer can conduct the search.“So you could have a circumstance where the Canadian officer says, ‘No I don’t think a search is warranted here. I’m not willing to do it.’ But the U.S. officer just says, ‘Fine, we’re going to do it anyway.’""”WTF.  Woooooowwww.  " False link
lol-biscuit 157171653391 "2017-02-13 01:57:58 GMT" http://lol-biscuit.tumblr.com/post/157171653391/pacific-rim-2-gets-early-2018-release-date "mr-x-the-psychotic-fanatic: " False link
lol-biscuit 156313600026 "2017-01-24 16:04:59 GMT" http://lol-biscuit.tumblr.com/post/156313600026/kevin-oleary-leads-as-tories-gain-ground-on "allthecanadianpolitics:  Kevin O’Leary is the far-and-away front-runner for the Conservative leadership as the Opposition party gains slightly on the Liberals in overall voter preference, according to a new poll. O’Leary, the celebrity businessman who entered the Tory leadership race last week after months of signalling a potential campaign, is the top choice to lead the party for 27 per cent of poll respondents. The survey found he had more than twice the support of runner-up Maxime Bernier, the Quebec MP and former minister who scored 11 per cent. Bernier was followed by Lisa Raitt at 7 per cent — she attacked O’Leary in early January by launching the site StopKevinOLeary.com — and Michael Chong, who got 6 per cent.  Continue Reading. " False link
lol-biscuit 155119602116 "2016-12-29 15:28:49 GMT" http://lol-biscuit.tumblr.com/post/155119602116/artist-bans-anish-kapoor-from-using-most-glittery "plantpuppy:  to summarize:  •Anish Kapoor gets exclusive rights to use Vantablack, the world’s “blackest black” pigment, which understandably upsets a lot of artists   •Stuart Semple responds by creating Pink, the world’s “pinkest pink” pigment, which he makes legally available to everyone except for Anish Kapoor •Kapoor somehow gets ahold of Pink and posts an Instagram photo of his middle finger dunked in the pigment that Semple had banned him from using •Semple gets ahold of Vantablack and posts an Instagram video of his hand making the peace sign with his fingers coated in Vantablack •During this time, Semple also releases Diamond Dust, the “most glittery glitter,” again available to everyone EXCEPT Anish Kapoor  The best thing about Diamond Dust is that it’s made from actual shards of glass so Anish can’t just stick his middle finger in it again This petty art feud is actually starting to look like it could be one of the most important pieces of performance art of the 21st century " False link
lol-biscuit 153614870221 "2016-11-24 21:12:56 GMT" http://lol-biscuit.tumblr.com/post/153614870221/fraser-institute-denounces-mary-poppins-as "soulpurifier: allthecanadianpolitics:   Could a spoonful of sugar help seize the means of production? According to a new blog post published by the Fraser Institute, the timeless story of Mary Poppins is about a lot more than “merry-go-round horses” and “fantastical rooftop dancing.” Believe it or not, but the right-wing think tank suggests the story, beloved by children around the world, is actually “propaganda” that pushes an evil “political ideology” – communism. Fraser Institute Senior Fellow Jonathan Fortier warns parents to be vigilant and not be distracted by Mary Poppins’ “magic” or “song and dance,” because something sinister is creeping beneath the surface: “Some may remember the film for its magic, fantasy, song and dance. But I was struck by the film’s latent socialist ideas and its implied attack on bankers and investment.”  Continue Reading.  COMRADE MARY POPPINS " False link
lol-biscuit 151593016571 "2016-10-10 03:07:34 GMT" http://lol-biscuit.tumblr.com/post/151593016571/no-trump-canadians-do-not-flee-en-masse-for-us "hloneheart: allthecanadianpolitics:   Canada made a rare appearance in a US presidential debate tonight when Donald Trump accused Hillary Clinton of wanting to turn America’s system into a “catastrophic” single-payer health system like Canada’s. “You’ve noticed,” he said, “the Canadians, when they need a big operation, they come into the United States in many cases, because their system is so slow.” This idea is often floated by critics of single-payers systems like Canada’s on both sides of the border. But the best-available research shows it’s simply not true. Canadians are not fleeing en masse to the US seeking medical care. The most comprehensive look at the issue was published in Health Affairs in 2002. Entitled “Phantoms in the Snow,” researchers gathered data on Canadians’ use of the US health-care system by surveying US border facilities and America’s top-rated hospitals about how often they see Canadians seeking health care. They found this happened rarely. They also tracked Canadian’s behaviors by examining data from the National Population Health Survey, where 18,000 Canadians were asked if they sought medical treatment in the US. “Only 90 of those 18,000 Canadians had received care in the United States; only 20 of them had done so electively.”  Continue Reading.  Again. My mom was diagnosed with breast cancer last November. She was 100% cancer free by this April. All covered by our single payer system including the home care nurse. My dad has had multiple heart attacks and is actually in the hospital as we speak (he should be getting out later this week) due to congestive heart failure. He gets seen right away, all medicine he needs on a normal day to day basis are being provided to him at NO cost because all medicine given in a hospital is covered by our single payer system.  Yes, there can be long waits if it’s not a emergency, I waited 2 hours in a walk in clinic after the very first time I had a panic attack but that’s because they knew what it was and that it wasn’t as urgent as others.  Also; my dad is NOT a Canadian citizen. He’s a landed immigrant. He still gets all the care as any other Canadian because he still pays into the system. " False link
lol-biscuit 149103478206 "2016-08-18 00:50:19 GMT" http://lol-biscuit.tumblr.com/post/149103478206/todays-youth-are-working-less-earning-less-and "allthecanadianpolitics: officialcanadaofficielle:allthecanadianpolitics: So much for those “entitled millennials.” Despite years of blaming the attitudes of young people for deeper problems in the economy, this generation of young Canadians work less, earn less and are saddled with the highest student debt in Canadian history. According to a new report published by Oxfam, not only is the gap between the rich and the poor growing, but the gap between the old and the young too – inequality is leaving today’s generation of youth disadvantaged and disempowered despite being the biggest generation in human history. “The policies that enabled an outrageously large portion of the world’s wealth to accrue to the very top of the income spectrum have delivered a difficult present and uncertain future to a huge majority of today’s youth,” the report points out. Meanwhile, the report suggests Canadian youth are “earning less” than previous generations, working in jobs that are “low paying and temporary” and, thanks to tuition more than tripling in the last two decades, today’s students are “the most indebted generation in Canadian history.” And here are a few other statistics:  Continue Reading.Are there any statistics related to the number of youth working in positions related to their post secondary studies?Almost 30% are underemployed (i.e. not employed in work corresponding to their education or skills):Of those young Canadians in work, one-third are employed in part-time jobs, many of which are low paying and temporary. In 2014, a full 27.7% of Canadian youth aged 15–24 were underemployed. " False link
lol-biscuit 145525293186 "2016-06-06 21:34:33 GMT" http://lol-biscuit.tumblr.com/post/145525293186/star-wars-john-boyega-takes-lead-in-pacific "entertainingtheidea:  Legendary Pictures has set Star Wars: The Force Awakens star John Boyega for the lead role for the second installment of its Pacific Rim franchise. Steven S. DeKnight is directing the film, which will begin production in the fourth quarter of this year, based on the world created by Guillermo del Toro and Travis Beacham. Boyega will play the son of the character played by Idris Elba in the del Toro-directed original film. Universal will release the film worldwide, everywhere but China. The 2013 original grossed $411 million. Thomas Tull, Mary Parent, Jon Jashni, and del Toro will produce the action adventure film along with Boyega and Femi Oguns under their Upper Room Productions shingle. Cale Boyter is executive producer.  The picture is a beach head project for Legendary, under the leadership of Parent, who became Tull’s vice chairman of Worldwide Production after Jashni exited to start his own venture. The principals have confirmed to Deadline they found their man in Boyega. “It is undeniable that with all his talent and natural charm, John stands out amongst today’s generation of young leading men,” said Parent. Said del Toro: “I am very proud and happy to welcome John into a fantastic sandbox. The Pacific Rim universe will be reinforced with him as a leading man as it continues to be a multicultural, multi-layered world. ‘The World saving the world’ was our goal and I couldn’t think of a better man for the job.”      " False link
lol-biscuit 145515927661 "2016-06-06 17:58:22 GMT" http://lol-biscuit.tumblr.com/post/145515927661/star-wars-john-boyega-takes-lead-in-pacific  True link
lol-biscuit 144757557601 "2016-05-22 16:10:30 GMT" http://lol-biscuit.tumblr.com/post/144757557601/50-year-study-finds-spanking-doesnt-work "eltigrechico: SHOCKER!! Turns out that small and vulnerable children being physically attacked by the large and strong adults they most love and trust in this world has negative effects. Who knew? also, thanks to @thedoomreport for this link " False link
lol-biscuit 142470372851 "2016-04-08 18:29:17 GMT" http://lol-biscuit.tumblr.com/post/142470372851/theres-a-conspiracy-theory-that-louis-tomlinsons "orangewave: kramergate:  big-boss-official:  plasmalogical:  lastexittospringfield: @rosegoldfuck honestly… 2016 is just too weird american sniper baby lands a second role  PLEASE read this it’s ubelievably convincing  this was better than every mystery book ive ever read  Tell Us The Truth Louis" False link
lol-biscuit 139996863551 "2016-02-26 00:06:07 GMT" http://lol-biscuit.tumblr.com/post/139996863551/ontario-to-offer-free-tuition-for-students-from "grouchythefish: I’m gonna start crying, this is the best news I’ve heard all year." False link
lol-biscuit 139557729941 "2016-02-18 20:08:48 GMT" http://lol-biscuit.tumblr.com/post/139557729941/millennials-drank-42-of-all-wine-sold-last-year "arabellesicardi:i mean are you surprised " False link
